filename,SI,TI,CF,TP,MV,DTP,error
abandoned-demo.mp4,0.07141093159314345,0.03290223833757071,0.0075052496517942595,0.007602610924741238,3.5793464,25.403049099007433,
abandoned-flipped.mp4,0.1503885655794384,0.04736777439541772,0.003571018497773966,0.014856868849279196,5.6900864,48.11016291206281,
abandoned.mp4,0.07303944667692337,0.015639949147251243,0.0012145918420589765,0.007802870710880363,1.0722474,5.741053428647837,
cubetest.mp4,0.10442948618467157,0.0390062908114103,0.0032048883947613325,0.011284212790588416,2.0376477,30.424895943684632,
fantasticvillage.mp4,0.08283670586964857,0.0014190526991351713,0.017770073701818198,0.008746071088846454,0.10966954,1.343392655599854,
lightfoliage-close.mp4,0.11421332059016602,0.027862974792363004,0.008515746954764073,0.012586535674146103,2.4714665,26.72763589880859,
lightfoliage.mp4,0.08752255343857061,0.038993692143410405,0.024447990142327996,0.008543192267381684,8.51712,30.405316169202326,
oldmine.mp4,0.1244830259882527,0.01279047764195902,0.006212051111285998,0.012430381203935695,0.88141704,3.0309606894626357,
quarry-all.mp4,0.20700408385372324,0.06000102651874266,0.007098114008739566,0.019554221686003768,5.6767626,57.9283025093556,
quarry-rocksonly.mp4,0.18618155596297112,0.09788695654795858,0.002943666560667145,0.016753361583557735,22.27876,200.61970519078434,
resto-close.mp4,0.07026757097506264,0.04340652976525234,0.008794043234914915,0.006736386210151665,3.0944648,49.18171401921843,
resto-fwd.mp4,0.038239443384566654,0.018686049219542256,0.0016834115907729725,0.004374004133874209,1.0411164,12.516663158710513,
resto-pan.mp4,0.04724299691222374,0.0343596506726153,0.012443498986873384,0.004920969994368711,2.8023388,40.55702915783902,
scifi.mp4,0.11940208939062108,0.05876971725049087,0.01573791408978185,0.013808702938341239,3.5634506,98.3971049207058,
subway-lookdown.mp4,0.09206880157821955,0.04105795452102628,0.005272456689156518,0.008677447829003556,4.673451,46.18787561679943,
subway-turn.mp4,0.11526348016991382,0.04536744864526194,0.01028097555225,0.010874032897768173,5.2625175,92.72590053565455,
wildwest-bar.mp4,0.1878914767728646,0.06754042644016031,0.006760515673557083,0.01759398783691963,10.090544,85.85748525229256,
wildwest-behindcounter.mp4,0.14796981473902274,0.059807978285824855,0.011236351192725952,0.013752946868825978,13.260001,121.74905671203528,
wildwest-store.mp4,0.1729403877070616,0.05936733521612413,0.013001694297852034,0.016081152461659906,7.6911,93.44239624771217,
wildwest-town.mp4,0.17088401352160762,0.028631306446544443,0.01926826056997628,0.0169903693531894,2.5850408,12.798334252369656,
