Parameter,Value,factory_Score,parking_Score,Score_Diff,factory_Worst_Frame,factory_Worst_Error,parking_Worst_Frame,parking_Worst_Error,factory_Mean_Error,parking_Mean_Error,factory_Std,parking_Std
num_samples,4.0,90.01,65.26,24.75,91,12.59,267,52.89,10.0,33.89,1.61,9.54
num_samples,8.0,89.33,65.44,23.89,91,13.61,267,52.49,10.68,33.71,1.8,9.44
num_samples,16.0,89.49,65.51,23.98,91,13.31,267,52.07,10.52,33.64,1.74,9.41
