scene,n_variations,mean_cgvqm_all,std_cgvqm_all,min_cgvqm_all,max_cgvqm_all,range_cgvqm_all,median_cgvqm_all,mean_cgvqm_alpha_weight,std_cgvqm_alpha_weight,range_cgvqm_alpha_weight,mean_cgvqm_num_samples,std_cgvqm_num_samples,range_cgvqm_num_samples,mean_cgvqm_filter_size,std_cgvqm_filter_size,range_cgvqm_filter_size,mean_cgvqm_hist_percent,std_cgvqm_hist_percent,range_cgvqm_hist_percent,mean_frame_error_all,max_frame_error_all
fantasticvillage-open,33,69.423271410393,5.243941143301222,67.80863952636719,98.59888458251952,30.79024505615233,68.52288818359375,68.53021240234375,0.42866340058610064,1.3189849853515625,68.46051330566407,0.16270541729507346,0.391754150390625,68.5105231148856,0.018987463033456126,0.050323486328125,71.85879770914714,10.027543556492654,30.112983703613267,30.576729997065335,35.96050262451172
lightfoliage-close,35,77.87588980538504,2.7753795376923387,74.22528839111328,83.83586883544922,9.610580444335938,76.36615753173828,80.17886034647624,3.60626291583974,9.610580444335938,76.28851013183593,0.09265307420482416,0.222686767578125,76.35117013113839,0.024936436030406232,0.0782623291015625,77.0553706776012,1.373908308958803,4.187713623046875,22.124110566002987,36.37954330444336
quarry-all,35,84.76636287144252,2.5338474075806707,82.05805969238281,90.3222427368164,8.264183044433594,83.59071350097656,86.85824775695801,3.157305099902101,8.264183044433594,83.18382568359375,0.3605079312660295,0.7571945190429688,83.3579352242606,0.30736435699508097,0.6023330688476562,84.09991385719992,1.54099628198704,4.553245544433594,15.23363759195237,81.18584442138672
wildwest-town,35,89.30967864990234,1.8702548699125772,86.53353881835938,93.59718322753906,7.0636444091796875,88.76670837402344,90.68761253356934,2.3243614760683484,7.0636444091796875,88.15094757080078,0.580726442815994,1.1866455078125,88.35872650146484,0.5019266005994827,1.0087051391601562,88.93832536177202,1.388971632129653,3.9327850341796875,10.690322413399105,43.00962829589844
oldmine,35,90.38350219726563,1.5228114215317992,87.1959228515625,93.93324279785156,6.7373199462890625,89.77543640136719,91.42635599772136,2.1894966391203377,6.7373199462890625,89.54709167480469,0.15518192533194314,0.34450531005859375,89.68658011300224,0.14494066971085465,0.35467529296875,90.06952597878195,0.6968857896623191,2.0428848266601562,9.616498458589826,41.29021072387695
lightfoliage,35,91.67531716482979,0.4783503880247385,91.09331512451172,92.6627960205078,1.5694808959960795,91.44568634033205,92.0388577779134,0.558759626921869,1.4834899902343608,91.29705505371093,0.13085057619123677,0.35230255126951704,91.42043086460659,0.03164277124456088,0.06055450439453125,91.61286510120739,0.38366575026005584,1.1410446166992188,8.324682896795727,28.47519302368164
wildwest-store,35,92.83772844587054,1.2294586959510712,91.45594024658205,95.2592544555664,3.803314208984361,92.16582489013672,93.74898974100749,1.460769312914077,3.803314208984361,92.08915100097656,0.14603712940901745,0.37149810791017046,92.09896414620536,0.0852415130653174,0.16791534423828125,92.65401042591442,1.0408565415476212,2.899406433105483,7.162271906557537,36.70603561401367
abandoned-flipped,34,93.49604976878447,0.487960433517934,92.91659545898438,94.64991760253906,1.7333221435546875,93.26418685913086,93.69430033365886,0.583640169525477,1.6055755615234233,93.21559295654296,0.09531788407106478,0.21520233154295454,93.2402114868164,0.041044066422719516,0.116180419921875,93.54680494828658,0.5272326254963502,1.4383239746093892,6.503949875878353,26.85765266418457
subway-turn,35,93.59943782261439,0.6396878782816781,92.60865020751952,94.88578033447266,2.277130126953139,93.23320770263672,94.01998456319173,0.7833690576883543,2.277130126953139,93.22590026855468,0.07208537573327643,0.17449188232420454,93.23300388881138,0.00023649951067975775,0.00048828125,93.54363458806819,0.5785809613719043,1.6416549682617188,6.400562333016169,25.802486419677734
wildwest-barzoom,35,94.63263702392578,0.6770978895374402,93.82952117919922,96.07656860351562,2.2470474243164062,94.40744018554688,95.07270812988281,0.7688377351061199,2.2470474243164062,94.19983825683593,0.18411586479642195,0.3595733642578267,94.26316942487445,0.18030547312461542,0.33895111083985796,94.58440191095525,0.6717998101913847,1.86773681640625,5.367363804499308,32.9797477722168
