scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
lightfoliage-close,50,r.TemporalAA.HistoryScreenPercentage,100,750,Profile(20260408_013654).csv,5.5897,6.2054,7.3642,0.3718,0.1382,1.1476,1.2154,1.8565,0.052,0.0027,5.5839,6.1954,8.7292,0.3859,0.1489,5.0998,5.4286,5.7161,0.2136,0.0456,2.2927,2.7081,3.1285,0.2119,0.0449,2334.3584,2344.5312,2344.5312,148.0338,21913.9933,0.0746,0.0794,0.4403,0.0414,0.0017
lightfoliage-close,50,r.TemporalAA.HistoryScreenPercentage,125,750,Profile(20260408_013708).csv,5.6819,6.179,7.3068,0.3312,0.1097,1.161,1.2811,2.034,0.0743,0.0055,5.676,6.1578,7.5239,0.3342,0.1117,5.1881,5.5022,5.7491,0.2142,0.0459,2.3208,2.7218,3.2318,0.216,0.0466,2359.5483,2363.2812,2363.2812,86.2765,7443.6386,0.1067,0.1105,0.468,0.0377,0.0014
lightfoliage-close,50,r.TemporalAA.HistoryScreenPercentage,150,750,Profile(20260408_013722).csv,5.7306,6.2444,7.4755,0.3341,0.1116,1.164,1.2854,1.8296,0.0745,0.0056,5.7247,6.235,9.677,0.3601,0.1297,5.2402,5.5594,5.7986,0.2171,0.0471,2.3368,2.7739,3.2086,0.2262,0.0512,2377.4221,2384.0312,2384.0312,123.0165,15133.0661,0.1448,0.1438,0.5007,0.0594,0.0035
lightfoliage-close,50,r.TemporalAA.HistoryScreenPercentage,200,750,Profile(20260408_013735).csv,5.8417,6.3837,9.6209,0.3636,0.1322,1.173,1.3098,2.5471,0.087,0.0076,5.836,6.373,9.6132,0.3699,0.1368,5.3494,5.6666,9.0083,0.2506,0.0628,2.3694,2.751,6.5415,0.2704,0.0731,2433.3798,2440.4062,2440.4062,125.9128,15854.038,0.2313,0.2323,0.5928,0.0641,0.0041
resto-close,100,r.TemporalAACurrentFrameWeight,0.01,750,Profile(20260408_014128).csv,5.5995,7.7174,57.0491,3.2801,10.7593,1.3589,1.9893,5.3533,0.4321,0.1867,5.592,7.644,57.0387,3.296,10.8634,4.2807,4.5583,12.1761,0.5516,0.3043,2.3666,4.0516,14.3873,0.8493,0.7214,2413.819,2467.2812,2467.9688,356.6226,127179.7081,0.0723,0.0717,0.5714,0.0393,0.0015
resto-close,100,r.TemporalAACurrentFrameWeight,0.02,750,Profile(20260408_014142).csv,4.924,5.6302,8.9087,0.4837,0.234,1.204,1.4661,1.7766,0.1102,0.0121,4.9176,5.6114,8.7064,0.4758,0.2264,4.2501,4.5283,6.4344,0.2595,0.0673,2.0252,2.3672,4.0981,0.2272,0.0516,2468.2749,2468.4062,2468.4062,0.1303,0.017,0.0707,0.0717,0.432,0.0258,0.0007
resto-close,100,r.TemporalAACurrentFrameWeight,0.04,750,Profile(20260408_014155).csv,4.9212,5.6041,8.7772,0.4908,0.2409,1.2041,1.4625,1.8388,0.1135,0.0129,4.9147,5.5754,8.8124,0.4925,0.2425,4.2489,4.5341,6.569,0.269,0.0724,2.029,2.3612,4.4068,0.243,0.059,2461.1458,2464.7812,2464.7812,89.9895,8098.1143,0.0706,0.0717,0.429,0.0291,0.0008
resto-close,100,r.TemporalAACurrentFrameWeight,0.06,750,Profile(20260408_014208).csv,4.9246,5.6804,8.6269,0.503,0.253,1.2002,1.4629,1.9413,0.1138,0.0129,4.9178,5.6669,8.8358,0.5132,0.2634,4.2506,4.5264,6.5835,0.2663,0.0709,2.0114,2.3078,3.9167,0.2129,0.0453,2454.8269,2464.7812,2464.7812,155.6722,24233.8216,0.0719,0.0717,0.4281,0.0345,0.0012
resto-close,100,r.TemporalAACurrentFrameWeight,0.1,750,Profile(20260408_014221).csv,4.921,5.6071,8.6852,0.474,0.2247,1.192,1.4064,1.6389,0.0915,0.0084,4.9147,5.6042,8.8617,0.4781,0.2285,4.2542,4.5212,6.6242,0.266,0.0707,2.0325,2.3822,4.0245,0.2275,0.0518,2454.5469,2464.4062,2464.4062,155.6544,24228.2906,0.0694,0.0707,0.427,0.0203,0.0004
resto-close,100,r.TemporalAACurrentFrameWeight,0.2,750,Profile(20260408_014234).csv,4.9296,5.641,8.5757,0.5002,0.2502,1.1639,1.2223,1.5903,0.0536,0.0029,4.9232,5.623,8.9244,0.5104,0.2605,4.2406,4.5334,6.6496,0.2645,0.07,2.0583,2.4025,4.2759,0.2255,0.0509,2455.0451,2464.9062,2464.9062,155.686,24238.1262,0.0728,0.0727,0.563,0.0366,0.0013
