scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
abandoned-flipped,71,r.TemporalAA.HistoryScreenPercentage,200,1350,Profile(20260402_231349).csv,3.6854,4.3939,5.8845,0.4298,0.1847,1.0946,1.4073,2.501,0.1483,0.022,3.6791,4.3844,5.9231,0.4301,0.185,2.8414,3.1413,3.3473,0.1742,0.0304,1.9263,2.2776,2.92,0.1931,0.0373,2935.86,2938.375,2946.8125,79.9858,6397.7284,0.0165,0.0194,0.0502,0.0026,0.0
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.01,1350,Profile(20260402_231404).csv,3.5081,4.141,5.8973,0.3746,0.1403,1.0985,1.4025,2.6672,0.147,0.0216,3.5018,4.1171,5.9197,0.3706,0.1373,2.4728,2.8032,3.0077,0.1431,0.0205,1.931,2.2517,2.931,0.1898,0.036,2758.6865,2760.4336,2768.8711,75.1552,5648.2998,0.0156,0.0205,0.0379,0.0033,0.0
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.02,1350,Profile(20260402_231419).csv,3.5121,4.1853,5.7789,0.381,0.1451,1.0916,1.3937,2.2032,0.143,0.0205,3.5059,4.154,5.8079,0.3772,0.1423,2.4615,2.7977,2.993,0.1364,0.0186,1.9286,2.2482,3.0004,0.1816,0.033,2759.9636,2759.6836,2768.1211,1.6537,2.7347,0.0163,0.0236,0.4557,0.0124,0.0002
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.04,1350,Profile(20260402_231433).csv,3.5151,4.1612,6.0583,0.3942,0.1554,1.1021,1.4311,1.9142,0.1475,0.0217,3.5086,4.13,6.0441,0.3916,0.1533,2.4652,2.7943,3.0409,0.1407,0.0198,1.9342,2.2798,3.8159,0.1986,0.0395,2754.8075,2760.6836,2769.1211,130.0657,16917.0926,0.0159,0.0251,0.0379,0.0037,0.0
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.06,1350,Profile(20260402_231448).csv,3.5084,4.1386,5.7164,0.366,0.134,1.0963,1.4168,2.5188,0.1513,0.0229,3.502,4.1415,5.7363,0.3628,0.1316,2.4676,2.7968,2.9313,0.1397,0.0195,1.9234,2.2559,3.0343,0.1834,0.0337,2759.6775,2759.4336,2767.8711,1.6252,2.6413,0.0155,0.0175,0.0379,0.0031,0.0
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.1,1350,Profile(20260402_231503).csv,3.5091,4.1598,5.881,0.3839,0.1474,1.1071,1.4264,1.8635,0.1483,0.022,3.5028,4.1551,5.8993,0.3816,0.1456,2.4682,2.7974,2.9899,0.142,0.0202,1.9246,2.2827,2.9386,0.1966,0.0386,2754.4824,2760.4336,2768.8711,130.0499,16912.9718,0.0161,0.0174,0.4557,0.0156,0.0002
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.2,1350,Profile(20260402_231517).csv,3.5057,4.2068,5.9025,0.4036,0.1629,1.0971,1.4042,2.1816,0.144,0.0207,3.4992,4.2031,5.9315,0.4037,0.1629,2.4635,2.7974,2.9489,0.1425,0.0203,1.9245,2.2516,3.5326,0.1962,0.0385,2759.0152,2765.4336,2773.8711,130.2652,16969.0305,0.0169,0.0272,0.4485,0.0214,0.0005
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.5,1350,Profile(20260402_231532).csv,3.5187,4.2025,6.1345,0.3984,0.1587,1.0991,1.4221,1.9805,0.1464,0.0214,3.5121,4.2057,6.1339,0.3971,0.1577,2.4651,2.7963,3.0135,0.1379,0.019,1.9432,2.2782,3.0843,0.1937,0.0375,2755.7823,2759.5586,2767.9961,106.201,11278.6566,0.0163,0.0174,0.4475,0.0183,0.0003
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.6,1350,Profile(20260402_231546).csv,3.5123,4.2277,5.9569,0.3872,0.1499,1.0893,1.3884,2.1141,0.1413,0.02,3.5059,4.2257,5.9307,0.3832,0.1468,2.4728,2.7978,3.0136,0.1465,0.0215,1.9238,2.2483,3.1599,0.1889,0.0357,2760.5271,2760.4336,2768.8711,1.5978,2.553,0.0157,0.0174,0.3677,0.0101,0.0001
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.7,1350,Profile(20260402_231601).csv,3.5018,4.1509,6.0562,0.3787,0.1434,1.0971,1.4222,1.9703,0.1461,0.0214,3.4953,4.1261,5.949,0.3763,0.1416,2.459,2.7882,2.9755,0.1367,0.0187,1.9208,2.2543,2.8283,0.1817,0.033,2758.2543,2760.1836,2768.6211,75.1444,5646.6843,0.016,0.02,0.3676,0.0102,0.0001
abandoned-flipped,50,r.TemporalAACurrentFrameWeight,0.8,1350,Profile(20260402_231616).csv,3.5111,4.1985,5.7369,0.3918,0.1535,1.0868,1.3915,1.7883,0.1327,0.0176,3.5045,4.1955,5.7034,0.3908,0.1527,2.4618,2.7932,2.8892,0.1349,0.0182,1.9297,2.2484,3.3086,0.1876,0.0352,2752.7649,2760.6836,2769.1211,150.1286,22538.5865,0.0159,0.0226,0.4455,0.0122,0.0001
